username,userid,profile_location,created_at,text,retweet_count,source,coordinates
𝚂𝚝𝚎𝚟𝚎 𝚁𝚘𝚐𝚎𝚛𝚜,1551171950617284609,"Brooklyn, NY",2023-01-22 13:04:54,"@WizarddOfMagic “Should be hiding behind the vegetables. Try the carrots.”

He’s bought too much food but he’s cook… https://t.co/pxuNf38coV",0,Twitter for iPhone,
Joe T,3302777216,"New York, USA",2023-01-22 13:01:17,"@mikepompeo How much more weapons Mike? How much mlre money?? Better yet, tell me what we sent so far, where it has… https://t.co/jk31z9jqej",0,Twitter for iPhone,
𝚂𝚝𝚎𝚟𝚎 𝚁𝚘𝚐𝚎𝚛𝚜,1551171950617284609,"Brooklyn, NY",2023-01-22 12:57:10,@xSassyAvengerx “Everyone. Anything that’s left I’m gonna take it to the homeless shelter..”,0,Twitter for iPhone,
kjagp,510487764,"New York, USA",2023-01-22 12:50:40,@Johnny_881388 @PsychedWi @JoePawlowski4 @ChrisCoble @SenSanders Taxes aren't stealing.   I didn't twist anything.… https://t.co/VDPULGc0DX,0,Twitter for Android,
kjagp,510487764,"New York, USA",2023-01-22 12:46:10,@Johnny_881388 @PsychedWi @JoePawlowski4 @ChrisCoble @SenSanders You don't want to take a little of Nancy Pelosi's… https://t.co/rWROtz0Rbh,0,Twitter for Android,
kjagp,510487764,"New York, USA",2023-01-22 12:42:02,"@Johnny_881388 @PsychedWi @JoePawlowski4 @ChrisCoble @SenSanders Ok buddy, good to know that you love the fact that… https://t.co/xw2X1lbn7R",0,Twitter for Android,
W42ST,2540036611,"Hell's Kitchen, New York",2023-01-22 12:35:30,"“Compassionate new vision” for NYC’s homeless could move to ticketing. #W42ST 
https://t.co/XVIOlzjZQJ",0,TweetDeck,
frenchie,577557792,West New York,2023-01-22 12:32:52,"the homeless here really wild for always yelling obscenities to me and my girl. like, u can’t be homeless AND homop… https://t.co/1pJAhmo9Gf",0,Twitter for iPhone,
kjagp,510487764,"New York, USA",2023-01-22 12:09:35,"@Johnny_881388 @PsychedWi @JoePawlowski4 @ChrisCoble @SenSanders Yes, she has way too much money (around 90 million… https://t.co/x9sAt1aijF",0,Twitter for Android,
Unwind The Mind,1470337810171318275,"New York, NY",2023-01-22 12:04:29,@mike123qwe @POTUS We are all homeless and still losing what hasn't even come in yet! You're a sick man @POTUS Biden.,0,Twitter for iPhone,
kjagp,510487764,"New York, USA",2023-01-22 12:03:23,@Johnny_881388 @PsychedWi @JoePawlowski4 @ChrisCoble @SenSanders I'm glad that we clarified that you are ok with ho… https://t.co/QI7zDbfkoV,0,Twitter for Android,
Unwind The Mind,1470337810171318275,"New York, NY",2023-01-22 12:02:02,@POTUS Really? Because I've never feared what more my family can lose when we've already lost everything we worked… https://t.co/M1n6aAAyaZ,0,Twitter for iPhone,
Atlantis Motor Club,1010753447308812289,"New York, USA",2023-01-22 11:57:45,@Crippy87 @aaronbergcomedy @luisjgomez Damn Mersh...running a strip joint to homeless to buying a 2008 BMW to wheel… https://t.co/flbhvoY1Tr,0,Twitter for Android,
Unwind The Mind,1470337810171318275,"New York, NY",2023-01-22 11:48:20,@POTUS Must be nice from your view. When we aren't homeless anymore and fighting for our right to have 4 walls and… https://t.co/8mN60gBAFL,0,Twitter for iPhone,
Newporteous,1273375393651798016,"New York, NY",2023-01-22 11:41:48,@mask_bastard And no one sought treatment and they turned into mentally ill homeless ppl stabbing people in public transit lol,0,Twitter for iPhone,
Deborah Denno,413119537,"Manhattan, NY",2023-01-22 11:16:16,New York City to Open Migrant Shelter at Brooklyn Cruise Terminal https://t.co/SbPj5W5wNF,0,Twitter Web App,
MAGAcrat (jevven on TRUTHsocial),1036002250605428736,"New York, NY",2023-01-22 10:06:43,"@Julcuba @JumaaneWilliams They don't want housing, urban renewal or jobs. 
Progressives love their homeless, druggies and criminals.",1,Twitter Web App,
Okkkkkkiel,1592948870060933120,"New York, USA",2023-01-22 09:53:51,@BussinBarbie01 @PopCrave @justinbieber Be fr Selena is the one who dodged a bullet.. He looks like a 40 year old m… https://t.co/P17n1plfON,0,Twitter for iPhone,
Abraxas,1591339077445767169,"New York, USA",2023-01-22 09:07:03,@WatchtowerRome2 The virus only effected people that eat smashed avocado on toast &amp; soy latte's with a twist of lem… https://t.co/qKazOgved4,0,Twitter for Android,
Smitty,1163806180260622336,"Bronx, NY",2023-01-22 08:40:18,@RetiredLineCook I have a homegirl that never sleeps in her bed I asked her if she been homeless before lol,0,Twitter Web App,
Yanna Yannaaaa💅🏾,1231681069063319553,"Harlem, NY",2023-01-22 07:50:59,@gblock047geno @str8fromVenus @daffyrico0 @everythng_dop3 Nah fr the other day a homeless lady got on 1 train train… https://t.co/KOSsj6XL9p,0,Twitter for iPhone,
James Pitt,2550725251,"New York, NY",2023-01-22 07:42:49,@ComradeLuanne There are a bunch of places where there are camps of homeless sex offenders because there are no hou… https://t.co/wOVMQR2p09,0,Twitter Web App,
Dafe,1458389101,"Long Island City, Queens",2023-01-22 07:25:06,Nigeria hotels need to start putting pressing iron in these expensive rooms as they do abroad joor. Look at me goin… https://t.co/GGEbdotl1J,17,Twitter for iPhone,
Ryan Rasmason,153865388,"Jersey City, NJ",2023-01-22 07:15:50,"@GeorgeMossey Ohhh, in NYC I see many happy homeless people. Happy to hit you with a hammer. Happy to harass you. Not happy to get help.",0,Twitter for Android,
Elliot Wells,1498523267467862016,"New York, USA",2023-01-22 06:57:30,"#OMG 

Governor #JayInslee was on Kiro 97.3 radio being interviewed by @BrandiKruse and he blamed the homeless prob… https://t.co/yt9rWmSwHq",0,Twitter Web App,
Bearing Witness for Ecology etc. by Big Earth Data,1266563068223504389,New York City,2023-01-22 06:49:40,"From homeless to Eco Warrior, our first Māori Environment Commissioner shares her ...: New Zealand Herald https://t.co/TX5NJVAKIw",0,BigEarthData EcoSearch,
Jay Davis 🇺🇸,1541647498330112000,"Newark, NJ",2023-01-22 06:41:02,"What about homeless Americans, Biden? #BidenIsAFailure https://t.co/1Q8xfiFCTH",0,Twitter Web App,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 05:12:09,@ccpsychiatry @lian_yamouer @Twitter I thought you were referring to the page from the book.,1,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 05:10:15,@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA Or at a concert like Woodstock?,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 05:09:23,"@ccpsychiatry @DeborahPadgett5 @lian_yamouer @judgeglock More about #BillieBoggs here.
https://t.co/jWUUJvG8eC",1,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 05:04:47,"@ccpsychiatry @lian_yamouer Thanks, but this is not my writing.",0,Twitter for Android,
Smilez,26731645,Harlem New York,2023-01-22 05:03:34,@seeetandpsycho @NikkiNikkinow2 @CampArlington I'm in NYC you can only buy hot food if you are homeless and have no… https://t.co/cYeXdHQe7i,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 05:00:11,"@ccpsychiatry @DeborahPadgett5 @lian_yamouer @judgeglock I bet ""mad"" people who lived outside have been criminalize… https://t.co/g8EX0ah3Ld",1,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:54:43,"@UnsafeStreetsUS ""Noted.""",0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:54:08,@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA Let's also crack down on those who drink or do dru… https://t.co/73X6euYxeb,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:51:01,@UnsafeStreetsUS @No1RDunn @UCLA_Grad @MayorOfLA @TraciParkforLA Let's first require society (the government and pr… https://t.co/5xtEHdQANw,0,Twitter for Android,
Homeless New Yorker,1270494886559731720,New York City,2023-01-22 04:45:41,"@DeborahPadgett5 @lian_yamouer @judgeglock BTW, I do have another name for using involuntary commitment, assignment… https://t.co/7sAiaEnqdO",0,Twitter for Android,
